Section,Table/Figure,Title,Period,Country,Age_group,Breakdown/Measure,Data_type,Value,Value_Denominator,Value_Numerator
Characteristics and trends,Figure 5,Percentage of people with type 2 diabetes by age group and body mass index,2021-22,England and Wales,40-59,Total,Percentage,100,794660,794660
Characteristics and trends,Figure 5,Percentage of people with type 2 diabetes by age group and body mass index,2017-18,England and Wales,60-79,Underweight,Percentage,0.4,1274365,5400
Characteristics and trends,Figure 5,Percentage of people with type 2 diabetes by age group and body mass index,2017-18,England and Wales,60-79,Healthy weight,Percentage,10.9,1274365,138975
Characteristics and trends,Figure 5,Percentage of people with type 2 diabetes by age group and body mass index,2017-18,England and Wales,60-79,Overweight,Percentage,32.2,1274365,410835
Characteristics and trends,Figure 5,Percentage of people with type 2 diabetes by age group and body mass index,2017-18,England and Wales,60-79,Obese,Percentage,56.4,1274365,719155
Characteristics and trends,Figure 5,Percentage of people with type 2 diabetes by age group and body mass index,2017-18,England and Wales,60-79,Total,Percentage,100,1274365,1274365
Characteristics and trends,Figure 5,Percentage of people with type 2 diabetes by age group and body mass index,2018-19,England and Wales,60-79,Underweight,Percentage,0.4,1350940,6075
Characteristics and trends,Figure 5,Percentage of people with type 2 diabetes by age group and body mass index,2018-19,England and Wales,60-79,Healthy weight,Percentage,11.2,1350940,151290
Characteristics and trends,Figure 5,Percentage of people with type 2 diabetes by age group and body mass index,2018-19,England and Wales,60-79,Overweight,Percentage,32.4,1350940,438185
Characteristics and trends,Figure 5,Percentage of people with type 2 diabetes by age group and body mass index,2018-19,England and Wales,60-79,Obese,Percentage,55.9,1350940,755390
Characteristics and trends,Figure 5,Percentage of people with type 2 diabetes by age group and body mass index,2018-19,England and Wales,60-79,Total,Percentage,100,1350940,1350940
Characteristics and trends,Figure 5,Percentage of people with type 2 diabetes by age group and body mass index,2019-20,England and Wales,60-79,Underweight,Percentage,0.5,1412390,6560
Characteristics and trends,Figure 5,Percentage of people with type 2 diabetes by age group and body mass index,2019-20,England and Wales,60-79,Healthy weight,Percentage,11.2,1412390,157865
Characteristics and trends,Figure 5,Percentage of people with type 2 diabetes by age group and body mass index,2019-20,England and Wales,60-79,Overweight,Percentage,32.4,1412390,456915
Characteristics and trends,Figure 5,Percentage of people with type 2 diabetes by age group and body mass index,2019-20,England and Wales,60-79,Obese,Percentage,56,1412390,791045
Characteristics and trends,Figure 5,Percentage of people with type 2 diabetes by age group and body mass index,2019-20,England and Wales,60-79,Total,Percentage,100,1412390,1412390
Characteristics and trends,Figure 5,Percentage of people with type 2 diabetes by age group and body mass index,2020-21,England and Wales,60-79,Underweight,Percentage,0.5,1181905,5935
Characteristics and trends,Figure 5,Percentage of people with type 2 diabetes by age group and body mass index,2020-21,England and Wales,60-79,Healthy weight,Percentage,11.7,1181905,137800
Characteristics and trends,Figure 5,Percentage of people with type 2 diabetes by age group and body mass index,2020-21,England and Wales,60-79,Overweight,Percentage,32.3,1181905,382325
Characteristics and trends,Figure 5,Percentage of people with type 2 diabetes by age group and body mass index,2020-21,England and Wales,60-79,Obese,Percentage,55.5,1181905,655840
Characteristics and trends,Figure 5,Percentage of people with type 2 diabetes by age group and body mass index,2020-21,England and Wales,60-79,Total,Percentage,100,1181905,1181905
Characteristics and trends,Figure 5,Percentage of people with type 2 diabetes by age group and body mass index,2021-22,England and Wales,60-79,Underweight,Percentage,0.5,1362550,7045
Characteristics and trends,Figure 5,Percentage of people with type 2 diabetes by age group and body mass index,2021-22,England and Wales,60-79,Healthy weight,Percentage,11.8,1362550,161355
Characteristics and trends,Figure 5,Percentage of people with type 2 diabetes by age group and body mass index,2021-22,England and Wales,60-79,Overweight,Percentage,32.6,1362550,444080
Characteristics and trends,Figure 5,Percentage of people with type 2 diabetes by age group and body mass index,2021-22,England and Wales,60-79,Obese,Percentage,55,1362550,750070
Characteristics and trends,Figure 5,Percentage of people with type 2 diabetes by age group and body mass index,2021-22,England and Wales,60-79,Total,Percentage,100,1362550,1362550
Characteristics and trends,Figure 6,Percentage of people with type 2 diabetes by locality of care and age group,2021-22,England,<12,Secondary care,Percentage,89.3,140,125
Characteristics and trends,Figure 6,Percentage of people with type 2 diabetes by locality of care and age group,2021-22,England,<12,Primary care only,Percentage,10.7,140,15
Characteristics and trends,Figure 6,Percentage of people with type 2 diabetes by locality of care and age group,2021-22,England,<12,Total,Percentage,100,140,140
Characteristics and trends,Figure 6,Percentage of people with type 2 diabetes by locality of care and age group,2021-22,England, 12-15,Secondary care,Percentage,91.6,655,600
Characteristics and trends,Figure 6,Percentage of people with type 2 diabetes by locality of care and age group,2021-22,England, 12-15,Primary care only,Percentage,9.2,655,60
Characteristics and trends,Figure 6,Percentage of people with type 2 diabetes by locality of care and age group,2021-22,England, 12-15,Total,Percentage,100,655,655
Characteristics and trends,Figure 6,Percentage of people with type 2 diabetes by locality of care and age group,2021-22,England,16-18,Secondary care,Percentage,70.1,1070,750
Characteristics and trends,Figure 6,Percentage of people with type 2 diabetes by locality of care and age group,2021-22,England,16-18,Primary care only,Percentage,29.9,1070,320
Characteristics and trends,Figure 6,Percentage of people with type 2 diabetes by locality of care and age group,2021-22,England,16-18,Total,Percentage,100,1070,1070
Characteristics and trends,Figure 6,Percentage of people with type 2 diabetes by locality of care and age group,2021-22,England,19-25,Secondary care,Percentage,30.6,8875,2720
Characteristics and trends,Figure 6,Percentage of people with type 2 diabetes by locality of care and age group,2021-22,England,19-25,Primary care only,Percentage,69.4,8875,6160
Characteristics and trends,Figure 6,Percentage of people with type 2 diabetes by locality of care and age group,2021-22,England,19-25,Total,Percentage,100,8875,8875
Characteristics and trends,Figure 6,Percentage of people with type 2 diabetes by locality of care and age group,2021-22,England,26-39,Secondary care,Percentage,15.5,119945,18620
Characteristics and trends,Figure 6,Percentage of people with type 2 diabetes by locality of care and age group,2021-22,England,26-39,Primary care only,Percentage,84.5,119945,101325
Characteristics and trends,Figure 6,Percentage of people with type 2 diabetes by locality of care and age group,2021-22,England,26-39,Total,Percentage,100,119945,119945
Characteristics and trends,Figure 6,Percentage of people with type 2 diabetes by locality of care and age group,2021-22,England,40-59,Secondary care,Percentage,8,982600,78950
Characteristics and trends,Figure 6,Percentage of people with type 2 diabetes by locality of care and age group,2021-22,England,40-59,Primary care only,Percentage,92,982600,903650
Characteristics and trends,Figure 6,Percentage of people with type 2 diabetes by locality of care and age group,2021-22,England,40-59,Total,Percentage,100,982600,982600
Characteristics and trends,Figure 6,Percentage of people with type 2 diabetes by locality of care and age group,2021-22,England,60-79,Secondary care,Percentage,6.8,1620775,109900
Characteristics and trends,Figure 6,Percentage of people with type 2 diabetes by locality of care and age group,2021-22,England,60-79,Primary care only,Percentage,93.2,1620775,1510875
Characteristics and trends,Figure 6,Percentage of people with type 2 diabetes by locality of care and age group,2021-22,England,60-79,Total,Percentage,100,1620775,1620775
Care processes and treatment targets,Figure 7,Percentage of people with type 2 diabetes who completed all 8 diabetes care processes by age group,2021-22,England and Wales,<12,All 8 care processes met,Percentage,23.3,150,35
Care processes and treatment targets,Figure 7,Percentage of people with type 2 diabetes who completed all 8 diabetes care processes by age group,2021-22,England and Wales,<12,All 8 care processes not met,Percentage,76.7,150,115
Care processes and treatment targets,Figure 7,Percentage of people with type 2 diabetes who completed all 8 diabetes care processes by age group,2021-22,England and Wales,<12,Total,Percentage,100,150,150
Care processes and treatment targets,Figure 7,Percentage of people with type 2 diabetes who completed all 8 diabetes care processes by age group,2021-22,England and Wales, 12-15,All 8 care processes met,Percentage,25.4,690,175
Care processes and treatment targets,Figure 7,Percentage of people with type 2 diabetes who completed all 8 diabetes care processes by age group,2021-22,England and Wales, 12-15,All 8 care processes not met,Percentage,74.6,690,515
Care processes and treatment targets,Figure 7,Percentage of people with type 2 diabetes who completed all 8 diabetes care processes by age group,2021-22,England and Wales, 12-15,Total,Percentage,100,690,690
Care processes and treatment targets,Figure 7,Percentage of people with type 2 diabetes who completed all 8 diabetes care processes by age group,2021-22,England and Wales,16-18,All 8 care processes met,Percentage,29.7,1160,345
Care processes and treatment targets,Figure 7,Percentage of people with type 2 diabetes who completed all 8 diabetes care processes by age group,2021-22,England and Wales,16-18,All 8 care processes not met,Percentage,70.3,1160,815
Care processes and treatment targets,Figure 7,Percentage of people with type 2 diabetes who completed all 8 diabetes care processes by age group,2021-22,England and Wales,16-18,Total,Percentage,100,1160,1160
Care processes and treatment targets,Figure 7,Percentage of people with type 2 diabetes who completed all 8 diabetes care processes by age group,2021-22,England and Wales,19-25,All 8 care processes met,Percentage,26.5,9765,2585
Care processes and treatment targets,Figure 7,Percentage of people with type 2 diabetes who completed all 8 diabetes care processes by age group,2021-22,England and Wales,19-25,All 8 care processes not met,Percentage,73.5,9765,7175
Care processes and treatment targets,Figure 7,Percentage of people with type 2 diabetes who completed all 8 diabetes care processes by age group,2021-22,England and Wales,19-25,Total,Percentage,100,9765,9765
Care processes and treatment targets,Figure 7,Percentage of people with type 2 diabetes who completed all 8 diabetes care processes by age group,2021-22,England and Wales,26-39,All 8 care processes met,Percentage,34.7,127495,44255
Care processes and treatment targets,Figure 7,Percentage of people with type 2 diabetes who completed all 8 diabetes care processes by age group,2021-22,England and Wales,26-39,All 8 care processes not met,Percentage,65.3,127495,83240
Care processes and treatment targets,Figure 7,Percentage of people with type 2 diabetes who completed all 8 diabetes care processes by age group,2021-22,England and Wales,26-39,Total,Percentage,100,127495,127495
Care processes and treatment targets,Figure 7,Percentage of people with type 2 diabetes who completed all 8 diabetes care processes by age group,2021-22,England and Wales,40-59,All 8 care processes met,Percentage,44,1037410,456340
Care processes and treatment targets,Figure 7,Percentage of people with type 2 diabetes who completed all 8 diabetes care processes by age group,2021-22,England and Wales,40-59,All 8 care processes not met,Percentage,56,1037410,581070
Care processes and treatment targets,Figure 7,Percentage of people with type 2 diabetes who completed all 8 diabetes care processes by age group,2021-22,England and Wales,40-59,Total,Percentage,100,1037410,1037410
Care processes and treatment targets,Figure 7,Percentage of people with type 2 diabetes who completed all 8 diabetes care processes by age group,2021-22,England and Wales,60-79,All 8 care processes met,Percentage,51.6,1732005,893640
Care processes and treatment targets,Figure 7,Percentage of people with type 2 diabetes who completed all 8 diabetes care processes by age group,2021-22,England and Wales,60-79,All 8 care processes not met,Percentage,48.4,1732005,838365
Care processes and treatment targets,Figure 7,Percentage of people with type 2 diabetes who completed all 8 diabetes care processes by age group,2021-22,England and Wales,60-79,Total,Percentage,100,1732005,1732005
Care processes and treatment targets,Figure 8,Percentage of people with type 2 diabetes who completed all 9 diabetes care processes by age group,2021-22,England,<12,All 9 care processes met,Percentage,25,140,35
Care processes and treatment targets,Figure 8,Percentage of people with type 2 diabetes who completed all 9 diabetes care processes by age group,2021-22,England,<12,All 9 care processes not met,Percentage,75,140,105
Care processes and treatment targets,Figure 8,Percentage of people with type 2 diabetes who completed all 9 diabetes care processes by age group,2021-22,England,<12,Total,Percentage,100,140,140
Care processes and treatment targets,Figure 8,Percentage of people with type 2 diabetes who completed all 9 diabetes care processes by age group,2021-22,England, 12-15,All 9 care processes met,Percentage,18.3,655,120
Care processes and treatment targets,Figure 8,Percentage of people with type 2 diabetes who completed all 9 diabetes care processes by age group,2021-22,England, 12-15,All 9 care processes not met,Percentage,81.7,655,535
Care processes and treatment targets,Figure 8,Percentage of people with type 2 diabetes who completed all 9 diabetes care processes by age group,2021-22,England, 12-15,Total,Percentage,100,655,655
Care processes and treatment targets,Figure 8,Percentage of people with type 2 diabetes who completed all 9 diabetes care processes by age group,2021-22,England,16-18,All 9 care processes met,Percentage,20.6,1070,220
Care processes and treatment targets,Figure 8,Percentage of people with type 2 diabetes who completed all 9 diabetes care processes by age group,2021-22,England,16-18,All 9 care processes not met,Percentage,79.4,1070,850
Care processes and treatment targets,Figure 8,Percentage of people with type 2 diabetes who completed all 9 diabetes care processes by age group,2021-22,England,16-18,Total,Percentage,100,1070,1070
Care processes and treatment targets,Figure 8,Percentage of people with type 2 diabetes who completed all 9 diabetes care processes by age group,2021-22,England,19-25,All 9 care processes met,Percentage,19,8875,1690
Care processes and treatment targets,Figure 8,Percentage of people with type 2 diabetes who completed all 9 diabetes care processes by age group,2021-22,England,19-25,All 9 care processes not met,Percentage,81,8875,7185
Care processes and treatment targets,Figure 8,Percentage of people with type 2 diabetes who completed all 9 diabetes care processes by age group,2021-22,England,19-25,Total,Percentage,100,8875,8875
Care processes and treatment targets,Figure 8,Percentage of people with type 2 diabetes who completed all 9 diabetes care processes by age group,2021-22,England,26-39,All 9 care processes met,Percentage,24.8,119945,29740
Care processes and treatment targets,Figure 8,Percentage of people with type 2 diabetes who completed all 9 diabetes care processes by age group,2021-22,England,26-39,All 9 care processes not met,Percentage,75.2,119945,90205
Care processes and treatment targets,Figure 8,Percentage of people with type 2 diabetes who completed all 9 diabetes care processes by age group,2021-22,England,26-39,Total,Percentage,100,119945,119945
Care processes and treatment targets,Figure 8,Percentage of people with type 2 diabetes who completed all 9 diabetes care processes by age group,2021-22,England,40-59,All 9 care processes met,Percentage,34,982600,334125
Care processes and treatment targets,Figure 8,Percentage of people with type 2 diabetes who completed all 9 diabetes care processes by age group,2021-22,England,40-59,All 9 care processes not met,Percentage,66,982600,648475
Care processes and treatment targets,Figure 8,Percentage of people with type 2 diabetes who completed all 9 diabetes care processes by age group,2021-22,England,40-59,Total,Percentage,100,982600,982600
Care processes and treatment targets,Figure 8,Percentage of people with type 2 diabetes who completed all 9 diabetes care processes by age group,2021-22,England,60-79,All 9 care processes met,Percentage,42.2,1620775,683680
Care processes and treatment targets,Figure 8,Percentage of people with type 2 diabetes who completed all 9 diabetes care processes by age group,2021-22,England,60-79,All 9 care processes not met,Percentage,57.8,1620775,937095
Care processes and treatment targets,Figure 8,Percentage of people with type 2 diabetes who completed all 9 diabetes care processes by age group,2021-22,England,60-79,Total,Percentage,100,1620775,1620775
Care processes and treatment targets,Figure 9,Percentage of people with type 2 diabetes who achieved the HbA1c treatment target (<= 58 mmol/mol) by age group,2021-22,England and Wales,<12,HbA1c treatment target met,Percentage,64,125,80
Care processes and treatment targets,Figure 9,Percentage of people with type 2 diabetes who achieved the HbA1c treatment target (<= 58 mmol/mol) by age group,2021-22,England and Wales,<12,HbA1c treatment target not met,Percentage,40,125,50
Care processes and treatment targets,Figure 9,Percentage of people with type 2 diabetes who achieved the HbA1c treatment target (<= 58 mmol/mol) by age group,2021-22,England and Wales,<12,Total,Percentage,100,125,125
Care processes and treatment targets,Figure 9,Percentage of people with type 2 diabetes who achieved the HbA1c treatment target (<= 58 mmol/mol) by age group,2021-22,England and Wales, 12-15,HbA1c treatment target met,Percentage,65.3,605,395
Care processes and treatment targets,Figure 9,Percentage of people with type 2 diabetes who achieved the HbA1c treatment target (<= 58 mmol/mol) by age group,2021-22,England and Wales, 12-15,HbA1c treatment target not met,Percentage,34.7,605,210
Care processes and treatment targets,Figure 9,Percentage of people with type 2 diabetes who achieved the HbA1c treatment target (<= 58 mmol/mol) by age group,2021-22,England and Wales, 12-15,Total,Percentage,100,605,605
Care processes and treatment targets,Figure 9,Percentage of people with type 2 diabetes who achieved the HbA1c treatment target (<= 58 mmol/mol) by age group,2021-22,England and Wales,16-18,HbA1c treatment target met,Percentage,50.2,1025,515
Care processes and treatment targets,Figure 9,Percentage of people with type 2 diabetes who achieved the HbA1c treatment target (<= 58 mmol/mol) by age group,2021-22,England and Wales,16-18,HbA1c treatment target not met,Percentage,50.2,1025,515
Care processes and treatment targets,Figure 9,Percentage of people with type 2 diabetes who achieved the HbA1c treatment target (<= 58 mmol/mol) by age group,2021-22,England and Wales,16-18,Total,Percentage,100,1025,1025
Care processes and treatment targets,Figure 9,Percentage of people with type 2 diabetes who achieved the HbA1c treatment target (<= 58 mmol/mol) by age group,2021-22,England and Wales,19-25,HbA1c treatment target met,Percentage,52.1,7865,4095
Care processes and treatment targets,Figure 9,Percentage of people with type 2 diabetes who achieved the HbA1c treatment target (<= 58 mmol/mol) by age group,2021-22,England and Wales,19-25,HbA1c treatment target not met,Percentage,47.9,7865,3770
Care processes and treatment targets,Figure 9,Percentage of people with type 2 diabetes who achieved the HbA1c treatment target (<= 58 mmol/mol) by age group,2021-22,England and Wales,19-25,Total,Percentage,100,7865,7865
Care processes and treatment targets,Figure 9,Percentage of people with type 2 diabetes who achieved the HbA1c treatment target (<= 58 mmol/mol) by age group,2021-22,England and Wales,26-39,HbA1c treatment target met,Percentage,53.3,107880,57495
Care processes and treatment targets,Figure 9,Percentage of people with type 2 diabetes who achieved the HbA1c treatment target (<= 58 mmol/mol) by age group,2021-22,England and Wales,26-39,HbA1c treatment target not met,Percentage,46.7,107880,50385
Care processes and treatment targets,Figure 9,Percentage of people with type 2 diabetes who achieved the HbA1c treatment target (<= 58 mmol/mol) by age group,2021-22,England and Wales,26-39,Total,Percentage,100,107880,107880
Care processes and treatment targets,Figure 9,Percentage of people with type 2 diabetes who achieved the HbA1c treatment target (<= 58 mmol/mol) by age group,2021-22,England and Wales,40-59,HbA1c treatment target met,Percentage,54.6,909510,496395
Care processes and treatment targets,Figure 9,Percentage of people with type 2 diabetes who achieved the HbA1c treatment target (<= 58 mmol/mol) by age group,2021-22,England and Wales,40-59,HbA1c treatment target not met,Percentage,45.4,909510,413110
Care processes and treatment targets,Figure 9,Percentage of people with type 2 diabetes who achieved the HbA1c treatment target (<= 58 mmol/mol) by age group,2021-22,England and Wales,40-59,Total,Percentage,100,909510,909510
Care processes and treatment targets,Figure 9,Percentage of people with type 2 diabetes who achieved the HbA1c treatment target (<= 58 mmol/mol) by age group,2021-22,England and Wales,60-79,HbA1c treatment target met,Percentage,65.1,1580865,1028790
Care processes and treatment targets,Figure 9,Percentage of people with type 2 diabetes who achieved the HbA1c treatment target (<= 58 mmol/mol) by age group,2021-22,England and Wales,60-79,HbA1c treatment target not met,Percentage,34.9,1580865,552075
Care processes and treatment targets,Figure 9,Percentage of people with type 2 diabetes who achieved the HbA1c treatment target (<= 58 mmol/mol) by age group,2021-22,England and Wales,60-79,Total,Percentage,100,1580865,1580865
Care processes and treatment targets,Figure 10,Percentage of people with type 2 diabetes who achieved the blood pressure treatment target (<= 140/80) by age group,2021-22,England and Wales, 12-15,Blood pressure treatment target met,Percentage,67.8,575,390
Care processes and treatment targets,Figure 10,Percentage of people with type 2 diabetes who achieved the blood pressure treatment target (<= 140/80) by age group,2021-22,England and Wales, 12-15,Blood pressure treatment target not met,Percentage,32.2,575,185
Care processes and treatment targets,Figure 10,Percentage of people with type 2 diabetes who achieved the blood pressure treatment target (<= 140/80) by age group,2021-22,England and Wales, 12-15,Total,Percentage,100,575,575
Care processes and treatment targets,Figure 10,Percentage of people with type 2 diabetes who achieved the blood pressure treatment target (<= 140/80) by age group,2021-22,England and Wales,16-18,Blood pressure treatment target met,Percentage,63.6,935,595
Care processes and treatment targets,Figure 10,Percentage of people with type 2 diabetes who achieved the blood pressure treatment target (<= 140/80) by age group,2021-22,England and Wales,16-18,Blood pressure treatment target not met,Percentage,36.4,935,340
Care processes and treatment targets,Figure 10,Percentage of people with type 2 diabetes who achieved the blood pressure treatment target (<= 140/80) by age group,2021-22,England and Wales,16-18,Total,Percentage,100,935,935
Care processes and treatment targets,Figure 10,Percentage of people with type 2 diabetes who achieved the blood pressure treatment target (<= 140/80) by age group,2021-22,England and Wales,19-25,Blood pressure treatment target met,Percentage,60.7,7140,4335
Care processes and treatment targets,Figure 10,Percentage of people with type 2 diabetes who achieved the blood pressure treatment target (<= 140/80) by age group,2021-22,England and Wales,19-25,Blood pressure treatment target not met,Percentage,39.3,7140,2805
Care processes and treatment targets,Figure 10,Percentage of people with type 2 diabetes who achieved the blood pressure treatment target (<= 140/80) by age group,2021-22,England and Wales,19-25,Total,Percentage,100,7140,7140
Care processes and treatment targets,Figure 10,Percentage of people with type 2 diabetes who achieved the blood pressure treatment target (<= 140/80) by age group,2021-22,England and Wales,26-39,Blood pressure treatment target met,Percentage,58.4,99645,58195
Care processes and treatment targets,Figure 10,Percentage of people with type 2 diabetes who achieved the blood pressure treatment target (<= 140/80) by age group,2021-22,England and Wales,26-39,Blood pressure treatment target not met,Percentage,41.6,99645,41450
Care processes and treatment targets,Figure 10,Percentage of people with type 2 diabetes who achieved the blood pressure treatment target (<= 140/80) by age group,2021-22,England and Wales,26-39,Total,Percentage,100,99645,99645
Care processes and treatment targets,Figure 10,Percentage of people with type 2 diabetes who achieved the blood pressure treatment target (<= 140/80) by age group,2021-22,England and Wales,40-59,Blood pressure treatment target met,Percentage,60.2,864515,520610
Care processes and treatment targets,Figure 10,Percentage of people with type 2 diabetes who achieved the blood pressure treatment target (<= 140/80) by age group,2021-22,England and Wales,40-59,Blood pressure treatment target not met,Percentage,39.8,864515,343905
Care processes and treatment targets,Figure 10,Percentage of people with type 2 diabetes who achieved the blood pressure treatment target (<= 140/80) by age group,2021-22,England and Wales,40-59,Total,Percentage,100,864515,864515
Care processes and treatment targets,Figure 10,Percentage of people with type 2 diabetes who achieved the blood pressure treatment target (<= 140/80) by age group,2021-22,England and Wales,60-79,Blood pressure treatment target met,Percentage,70.1,1537915,1077935
Care processes and treatment targets,Figure 10,Percentage of people with type 2 diabetes who achieved the blood pressure treatment target (<= 140/80) by age group,2021-22,England and Wales,60-79,Blood pressure treatment target not met,Percentage,29.9,1537915,459980
Care processes and treatment targets,Figure 10,Percentage of people with type 2 diabetes who achieved the blood pressure treatment target (<= 140/80) by age group,2021-22,England and Wales,60-79,Total,Percentage,100,1537915,1537915
Care processes and treatment targets,Figure 11,Percentage of people with type 2 diabetes who achieved the statin treatment target by age group (with count of people in cohort),2021-22,England and Wales,19-25,Statin treatment target met,Percentage,28.6,70,20
Care processes and treatment targets,Figure 11,Percentage of people with type 2 diabetes who achieved the statin treatment target by age group (with count of people in cohort),2021-22,England and Wales,19-25,Statin treatment target not met,Percentage,71.4,70,50
Care processes and treatment targets,Figure 11,Percentage of people with type 2 diabetes who achieved the statin treatment target by age group (with count of people in cohort),2021-22,England and Wales,19-25,Total,Percentage,100,70,70
Care processes and treatment targets,Figure 11,Percentage of people with type 2 diabetes who achieved the statin treatment target by age group (with count of people in cohort),2021-22,England and Wales,26-39,Statin treatment target met,Percentage,68.4,3085,2110
Care processes and treatment targets,Figure 11,Percentage of people with type 2 diabetes who achieved the statin treatment target by age group (with count of people in cohort),2021-22,England and Wales,26-39,Statin treatment target not met,Percentage,31.6,3085,975
Care processes and treatment targets,Figure 11,Percentage of people with type 2 diabetes who achieved the statin treatment target by age group (with count of people in cohort),2021-22,England and Wales,26-39,Total,Percentage,100,3085,3085
Care processes and treatment targets,Figure 11,Percentage of people with type 2 diabetes who achieved the statin treatment target by age group (with count of people in cohort),2021-22,England and Wales,40-59,Statin treatment target met,Percentage,67.6,1037410,701300
Care processes and treatment targets,Figure 11,Percentage of people with type 2 diabetes who achieved the statin treatment target by age group (with count of people in cohort),2021-22,England and Wales,40-59,Statin treatment target not met,Percentage,32.4,1037410,336110
Care processes and treatment targets,Figure 11,Percentage of people with type 2 diabetes who achieved the statin treatment target by age group (with count of people in cohort),2021-22,England and Wales,40-59,Total,Percentage,100,1037410,1037410
Care processes and treatment targets,Figure 11,Percentage of people with type 2 diabetes who achieved the statin treatment target by age group (with count of people in cohort),2021-22,England and Wales,60-79,Statin treatment target met,Percentage,81.2,1732005,1406495
Care processes and treatment targets,Figure 11,Percentage of people with type 2 diabetes who achieved the statin treatment target by age group (with count of people in cohort),2021-22,England and Wales,60-79,Statin treatment target not met,Percentage,18.8,1732005,325510
Care processes and treatment targets,Figure 11,Percentage of people with type 2 diabetes who achieved the statin treatment target by age group (with count of people in cohort),2021-22,England and Wales,60-79,Total,Percentage,100,1732005,1732005
Care processes and treatment targets,Figure 12,HbA1c levels in people with type 2 diabetes by age group,2021-22,England and Wales,<12,HbA1c <= 48,Percentage,33.3,150,50
Care processes and treatment targets,Figure 12,HbA1c levels in people with type 2 diabetes by age group,2021-22,England and Wales,<12,48 < HbA1c <= 53,Percentage,13.3,150,20
Care processes and treatment targets,Figure 12,HbA1c levels in people with type 2 diabetes by age group,2021-22,England and Wales,<12,53 < HbA1c <= 58,Percentage,6.7,150,10
Care processes and treatment targets,Figure 12,HbA1c levels in people with type 2 diabetes by age group,2021-22,England and Wales,<12,58 < HbA1c <= 70,Percentage,13.3,150,20
Care processes and treatment targets,Figure 12,HbA1c levels in people with type 2 diabetes by age group,2021-22,England and Wales,<12,70 < HbA1c <= 86,Percentage,6.7,150,10
Care processes and treatment targets,Figure 12,HbA1c levels in people with type 2 diabetes by age group,2021-22,England and Wales,<12,HbA1c > 86,Percentage,13.3,150,20
Care processes and treatment targets,Figure 12,HbA1c levels in people with type 2 diabetes by age group,2021-22,England and Wales,<12,HbA1c unknown,Percentage,16.7,150,25
Care processes and treatment targets,Figure 12,HbA1c levels in people with type 2 diabetes by age group,2021-22,England and Wales,<12,Total,Percentage,100,150,150
Care processes and treatment targets,Figure 12,HbA1c levels in people with type 2 diabetes by age group,2021-22,England and Wales, 12-15,HbA1c <= 48,Percentage,40.6,690,280
Care processes and treatment targets,Figure 12,HbA1c levels in people with type 2 diabetes by age group,2021-22,England and Wales, 12-15,48 < HbA1c <= 53,Percentage,9.4,690,65
Care processes and treatment targets,Figure 12,HbA1c levels in people with type 2 diabetes by age group,2021-22,England and Wales, 12-15,53 < HbA1c <= 58,Percentage,7.2,690,50
Care processes and treatment targets,Figure 12,HbA1c levels in people with type 2 diabetes by age group,2021-22,England and Wales, 12-15,58 < HbA1c <= 70,Percentage,9.4,690,65
Care processes and treatment targets,Figure 12,HbA1c levels in people with type 2 diabetes by age group,2021-22,England and Wales, 12-15,70 < HbA1c <= 86,Percentage,7.2,690,50
Care processes and treatment targets,Figure 12,HbA1c levels in people with type 2 diabetes by age group,2021-22,England and Wales, 12-15,HbA1c > 86,Percentage,13.8,690,95
Care processes and treatment targets,Figure 12,HbA1c levels in people with type 2 diabetes by age group,2021-22,England and Wales, 12-15,HbA1c unknown,Percentage,12.3,690,85
Care processes and treatment targets,Figure 12,HbA1c levels in people with type 2 diabetes by age group,2021-22,England and Wales, 12-15,Total,Percentage,100,690,690
Care processes and treatment targets,Figure 12,HbA1c levels in people with type 2 diabetes by age group,2021-22,England and Wales,16-18,HbA1c <= 48,Percentage,25,1160,290
Care processes and treatment targets,Figure 12,HbA1c levels in people with type 2 diabetes by age group,2021-22,England and Wales,16-18,48 < HbA1c <= 53,Percentage,11.6,1160,135
Care processes and treatment targets,Figure 12,HbA1c levels in people with type 2 diabetes by age group,2021-22,England and Wales,16-18,53 < HbA1c <= 58,Percentage,7.3,1160,85
Care processes and treatment targets,Figure 12,HbA1c levels in people with type 2 diabetes by age group,2021-22,England and Wales,16-18,58 < HbA1c <= 70,Percentage,12.5,1160,145
Care processes and treatment targets,Figure 12,HbA1c levels in people with type 2 diabetes by age group,2021-22,England and Wales,16-18,70 < HbA1c <= 86,Percentage,11.6,1160,135
Care processes and treatment targets,Figure 12,HbA1c levels in people with type 2 diabetes by age group,2021-22,England and Wales,16-18,HbA1c > 86,Percentage,20.3,1160,235
Care processes and treatment targets,Figure 12,HbA1c levels in people with type 2 diabetes by age group,2021-22,England and Wales,16-18,HbA1c unknown,Percentage,11.2,1160,130
Care processes and treatment targets,Figure 12,HbA1c levels in people with type 2 diabetes by age group,2021-22,England and Wales,16-18,Total,Percentage,100,1160,1160
Care processes and treatment targets,Figure 12,HbA1c levels in people with type 2 diabetes by age group,2021-22,England and Wales,19-25,HbA1c <= 48,Percentage,23.9,9765,2330
Care processes and treatment targets,Figure 12,HbA1c levels in people with type 2 diabetes by age group,2021-22,England and Wales,19-25,48 < HbA1c <= 53,Percentage,10.4,9765,1020
